#Gene	Transcript	Source
CTSA	NM_000308.4	MANE
CTSB	NM_001908.5	MANE
CTSC	NM_001814.6	MANE
CTSD	NM_001909.5	MANE
CTSE	NM_001910.4	MANE
CTSF	NM_003793.4	MANE
CTSG	NM_001911.3	MANE
CTSH	NM_004390.5	MANE
CTSK	NM_000396.4	MANE
CTSL	NM_001912.5	MANE
CTSO	NM_001334.3	MANE
CTSS	NM_004079.5	MANE
CTSV	NM_001333.4	MANE
CTSW	NM_001335.4	MANE
CTSZ	NM_001336.4	MANE
CTTN	NM_005231.4	MANE
CTTNBP2	NM_033427.3	MANE
CTTNBP2NL	NM_018704.3	MANE
CTU1	NM_145232.4	MANE
CTU2	NM_001012759.3	MANE
CTXN1	NM_206833.4	MANE
CTXN2	NM_001145668.2	MANE
CTXN3	NM_001048252.3	MANE
CTXND1	NM_001352888.2	MANE
CTXND2	NM_001384189.2	MANE
CUBN	NM_001081.4	MANE
CUEDC1	NM_001271875.2	MANE
CUEDC2	NM_024040.3	MANE
CUL1	NM_003592.3	MANE
CUL2	NM_003591.4	MANE
CUL3	NM_003590.5	MANE
CUL4A	NM_001008895.4	MANE
CUL4B	NM_001079872.2	MANE
CUL5	NM_003478.6	MANE
CUL7	NM_014780.5	MANE
CUL9	NM_015089.4	MANE
CUTA	NM_001014840.2	MANE
CUTC	NM_015960.3	MANE
CUX1	NM_181552.4	MANE
CUX2	NM_015267.4	MANE
CUZD1	NM_022034.6	MANE
CWC15	NM_016403.4	MANE
CWC22	NM_020943.3	MANE
CWC25	NM_017748.5	MANE
CWC27	NM_005869.4	MANE
CWF19L1	NM_018294.6	MANE
CWF19L2	NM_152434.3	MANE
CWH43	NM_025087.3	MANE
CX3CL1	NM_002996.6	MANE
CX3CR1	NM_001337.4	MANE
CXADR	NM_001338.5	MANE
CXCL1	NM_001511.4	MANE
CXCL10	NM_001565.4	MANE
CXCL11	NM_005409.5	MANE
CXCL12	NM_199168.4	MANE
CXCL13	NM_001371558.1	MANE
CXCL14	NM_004887.5	MANE
CXCL16	NM_001386809.1	MANE
CXCL17	NM_198477.3	MANE
CXCL2	NM_002089.4	MANE
CXCL3	NM_002090.3	MANE
CXCL5	NM_002994.5	MANE
CXCL6	NM_002993.4	MANE
CXCL8	NM_000584.4	MANE
CXCL9	NM_002416.3	MANE
CXCR1	NM_000634.3	MANE
CXCR2	NM_001557.4	MANE
CXCR3	NM_001504.2	MANE
CXCR4	NM_003467.3	MANE
CXCR5	NM_001716.5	MANE
CXCR6	NM_006564.2	MANE
CXXC1	NM_014593.4	MANE
CXXC4	NM_025212.4	MANE
CXXC5	NM_016463.9	MANE
CXorf36	NM_176819.4	HGMD
CXorf38	NM_144970.3	MANE
CXorf49	NM_001145140.2	MANE
CXorf49B	NM_001145139.2	MANE
CXorf51A	NM_001144064.3	MANE
CXorf51B	NM_001244892.2	MANE
CXorf58	NM_152761.3	MANE
CXorf65	NM_001025265.3	MANE
CXorf66	NM_001013403.3	MANE
CYB561	NM_001915.4	MANE
CYB561A3	NM_153611.6	MANE
CYB561D1	NM_182580.3	MANE
CYB561D2	NM_001291284.2	MANE
CYB5A	NM_148923.4	MANE
CYB5B	NM_030579.3	MANE
CYB5D1	NM_144607.6	MANE
CYB5D2	NM_144611.4	MANE
CYB5R1	NM_016243.3	MANE
CYB5R2	NM_016229.5	MANE
CYB5R3	NM_000398.7	MANE
CYB5R4	NM_016230.4	MANE
CYB5RL	NM_001031672.4	MANE
CYBA	NM_000101.4	MANE
CYBB	NM_000397.4	MANE
CYBC1	NM_001033046.4	MANE
CYBRD1	NM_024843.4	MANE
CYC1	NM_001916.5	MANE
CYCS	NM_018947.6	MANE
CYFIP1	NM_014608.6	MANE
CYFIP2	NM_001037333.3	MANE
CYGB	NM_134268.5	MANE
CYHR1	NM_001330618.2	MANE
CYLC1	NM_021118.3	MANE
CYLC2	NM_001340.5	MANE
CYLD	NM_001378743.1	MANE
CYP11A1	NM_000781.3	MANE
CYP11B1	NM_000497.4	MANE
CYP11B2	NM_000498.3	MANE
CYP17A1	NM_000102.4	MANE
CYP19A1	NM_000103.4	MANE
CYP1A1	NM_001319217.2	MANE
CYP1A2	NM_000761.5	MANE
CYP1B1	NM_000104.4	MANE
CYP20A1	NM_177538.3	MANE
CYP21A2	NM_000500.9	MANE
CYP24A1	NM_000782.5	MANE
CYP26A1	NM_000783.4	MANE
CYP26B1	NM_019885.4	MANE
CYP26C1	NM_183374.3	MANE
CYP27A1	NM_000784.4	MANE
CYP27B1	NM_000785.4	MANE
CYP27C1	NM_001367502.1	MANE
CYP2A13	NM_000766.5	MANE
CYP2A6	NM_000762.6	MANE
CYP2A7	NM_000764.3	MANE
CYP2B6	NM_000767.5	MANE
CYP2C18	NM_000772.3	MANE
CYP2C19	NM_000769.4	MANE
CYP2C8	NM_000770.3	MANE
CYP2C9	NM_000771.4	MANE
CYP2D6	NM_000106.6	MANE
CYP2D7	NR_002570	HGNC
CYP2E1	NM_000773.4	MANE
CYP2F1	NM_000774.5	MANE
CYP2J2	NM_000775.4	MANE
CYP2R1	NM_024514.5	MANE
CYP2S1	NM_030622.8	MANE
CYP2U1	NM_183075.3	MANE
CYP2W1	NM_017781.3	MANE
CYP39A1	NM_016593.5	MANE
CYP3A4	NM_017460.6	MANE
CYP3A43	NM_057095.3	MANE
CYP3A5	NM_000777.5	MANE
CYP3A7	NM_000765.5	MANE
CYP46A1	NM_006668.2	MANE
CYP4A11	NM_000778.4	MANE
CYP4A22	NM_001010969.4	MANE
CYP4B1	NM_001099772.2	MANE
CYP4F11	NM_021187.4	MANE
CYP4F12	NM_023944.4	MANE
CYP4F2	NM_001082.5	MANE
CYP4F22	NM_173483.4	MANE
CYP4F3	NM_000896.3	MANE
CYP4F8	NM_007253.4	MANE
CYP4V2	NM_207352.4	MANE
CYP4X1	NM_178033.2	MANE
CYP4Z1	NM_178134.3	MANE
CYP51A1	NM_000786.4	MANE
CYP7A1	NM_000780.4	MANE
CYP7B1	NM_004820.5	MANE
CYP8B1	NM_004391.3	MANE
CYR61	NM_001554.5	HGMD
CYREN	NM_024033.4	MANE
CYRIA	NM_030797.4	MANE
CYRIB	NM_001353258.2	MANE
CYS1	NM_001037160.3	MANE
CYSLTR1	NM_006639.4	MANE
CYSLTR2	NM_001308476.3	MANE
CYSRT1	NM_199001.5	MANE
CYSTM1	NM_032412.4	MANE
CYTH1	NM_004762.6	MANE
CYTH2	NM_004228.7	MANE
CYTH3	NM_004227.4	MANE
CYTH4	NM_013385.5	MANE
CYTIP	NM_004288.5	MANE
CYTL1	NM_018659.3	MANE
CYYR1	NM_001320768.2	MANE
CZIB	NM_017887.3	MANE
D2HGDH	NM_152783.5	MANE
DAAM1	NM_001270520.2	MANE
DAAM2	NM_001201427.2	MANE
DAB1	NM_001365792.1	MANE
DAB2	NM_001343.4	MANE
DAB2IP	NM_001395010.1	MANE
DACH1	NM_080759.6	MANE
DACH2	NM_053281.3	MANE
DACT1	NM_001079520.2	MANE
DACT2	NM_214462.5	MANE
DACT3	NM_145056.3	MANE
DAD1	NM_001344.4	MANE
DAG1	NM_004393.6	MANE
DAGLA	NM_006133.3	MANE
DAGLB	NM_139179.4	MANE
DALRD3	NM_001009996.3	MANE
DAND5	NM_152654.3	MANE
DAO	NM_001917.5	MANE
DAOA	NM_172370.5	MANE
DAP	NM_004394.3	MANE
DAP3	NM_004632.4	MANE
DAPK1	NM_004938.4	MANE
DAPK2	NM_014326.5	MANE
DAPK3	NM_001348.3	MANE
DAPL1	NM_001017920.3	MANE
DAPP1	NM_014395.3	MANE
DARS	NM_001349.4	HGMD
DARS1	NM_001349.4	MANE
DARS2	NM_018122.5	MANE
DAW1	NM_178821.3	MANE
DAXX	NM_001141969.2	MANE
DAZ1	NM_004081.7	MANE
DAZ2	NM_001389303.1	MANE
DAZ3	NM_020364.4	MANE
DAZ4	NM_001388484.1	MANE
DAZAP1	NM_018959.4	MANE
DAZAP2	NM_014764.4	MANE
DAZL	NM_001351.4	MANE
DBF4	NM_006716.4	MANE
DBF4B	NM_145663.3	MANE
DBH	NM_000787.4	MANE
DBI	NM_001079862.4	MANE
DBN1	NM_001363541.2	MANE
DBNDD1	NM_001042610.3	MANE
DBNDD2	NM_001048225.4	MANE
DBNL	NM_001014436.3	MANE
DBP	NM_001352.5	MANE
DBR1	NM_016216.4	MANE
DBT	NM_001918.5	MANE
DBX1	NM_001029865.4	MANE
DBX2	NM_001004329.3	MANE
DCAF1	NM_001387579.1	MANE
DCAF10	NM_024345.5	MANE
DCAF11	NM_025230.5	MANE
DCAF12	NM_015397.4	MANE
DCAF12L1	NM_178470.5	MANE
DCAF12L2	NM_001013628.3	MANE
DCAF13	NM_015420.7	MANE
DCAF15	NM_138353.4	MANE
DCAF16	NM_017741.4	MANE
DCAF17	NM_025000.4	MANE
DCAF4	NM_015604.4	MANE
DCAF4L1	NM_001029955.4	MANE
DCAF4L2	NM_152418.4	MANE
DCAF5	NM_003861.3	MANE
DCAF6	NM_001198956.2	MANE
DCAF7	NM_005828.5	MANE
DCAF8	NM_015726.4	MANE
DCAF8L1	NM_001017930.2	MANE
DCAF8L2	NM_001353450.2	MANE
DCAKD	NM_001288655.2	MANE
DCANP1	NM_130848.3	MANE
DCBLD1	NM_001366458.2	MANE
DCBLD2	NM_080927.4	MANE
DCC	NM_005215.4	MANE
DCD	NM_053283.4	MANE
DCDC1	NM_001387274.1	MANE
DCDC2	NM_016356.5	MANE
DCDC2B	NM_001099434.2	MANE
DCDC2C	NM_001287444.2	MANE
DCDC5	NM_020869.4	HGMD
DCHS1	NM_003737.4	MANE
DCHS2	NM_001358235.2	MANE
DCK	NM_000788.3	MANE
DCLK1	NM_001330071.2	MANE
DCLK2	NM_001040260.4	MANE
DCLK3	NM_001394672.2	MANE
DCLRE1A	NM_014881.5	MANE
DCLRE1B	NM_022836.4	MANE
DCLRE1C	NM_001033855.3	MANE
DCN	NM_001920.5	MANE
DCP1A	NM_018403.7	MANE
DCP1B	NM_152640.5	MANE
DCP2	NM_152624.6	MANE
DCPS	NM_014026.6	MANE
DCST1	NM_152494.4	MANE
DCST2	NM_144622.3	MANE
DCSTAMP	NM_030788.4	MANE
DCT	NM_001922.5	MANE
DCTD	NM_001921.3	MANE
DCTN1	NM_004082.5	MANE
DCTN2	NM_001261413.2	MANE
DCTN3	NM_007234.5	MANE
DCTN4	NM_016221.4	MANE
DCTN5	NM_032486.4	MANE
DCTN6	NM_006571.4	MANE
DCTPP1	NM_024096.2	MANE
DCUN1D1	NM_020640.4	MANE
DCUN1D2	NM_001014283.2	MANE
DCUN1D3	NM_173475.4	MANE
DCUN1D4	NM_001040402.3	MANE
DCUN1D5	NM_032299.4	MANE
DCX	NM_001195553.2	MANE
DCXR	NM_016286.4	MANE
DDA1	NM_024050.6	MANE
DDAH1	NM_012137.4	MANE
DDAH2	NM_001303007.2	MANE
DDB1	NM_001923.5	MANE
DDB2	NM_000107.3	MANE
DDC	NM_001082971.2	MANE
DDHD1	NM_001160148.2	MANE
DDHD2	NM_015214.3	MANE
DDI1	NM_001001711.3	MANE
DDI2	NM_032341.5	MANE
DDIAS	NM_145018.4	MANE
DDIT3	NM_004083.6	MANE
DDIT4	NM_019058.4	MANE
DDIT4L	NM_145244.4	MANE
DDN	NM_015086.2	MANE
DDO	NM_001372108.2	MANE
DDOST	NM_005216.5	MANE
DDR1	NM_001297654.2	MANE
DDR2	NM_006182.4	MANE
DDRGK1	NM_023935.3	MANE
DDT	NM_001084392.3	MANE
DDTL	NM_001084393.2	MANE
DDX1	NM_004939.3	MANE
DDX10	NM_004398.4	MANE
DDX11	NM_030653.4	MANE
DDX17	NM_006386.5	MANE
DDX18	NM_006773.4	MANE
DDX19A	NM_018332.5	MANE
DDX19B	NM_007242.7	MANE
DDX20	NM_007204.5	MANE
DDX21	NM_004728.4	MANE
DDX23	NM_004818.3	MANE
DDX24	NM_020414.4	MANE
DDX25	NM_013264.5	MANE
DDX27	NM_017895.8	MANE
DDX28	NM_018380.4	MANE
DDX31	NM_022779.9	MANE
DDX39A	NM_005804.4	MANE
DDX39B	NM_004640.7	MANE
DDX3X	NM_001356.5	MANE
DDX3Y	NM_004660.5	MANE
DDX4	NM_024415.3	MANE
DDX41	NM_016222.4	MANE
DDX42	NM_203499.3	MANE
DDX43	NM_018665.3	MANE
DDX46	NM_001300860.2	MANE
DDX47	NM_016355.4	MANE
DDX49	NM_019070.5	MANE
DDX5	NM_004396.5	MANE
DDX50	NM_024045.2	MANE
DDX51	NM_175066.4	MANE
DDX52	NM_007010.5	MANE
DDX53	NM_182699.4	MANE
DDX54	NM_024072.4	MANE
DDX55	NM_020936.3	MANE
DDX56	NM_019082.4	MANE
DDX58	NM_014314.4	MANE
DDX59	NM_001031725.6	MANE
DDX6	NM_004397.6	MANE
DDX60	NM_017631.6	MANE
DDX60L	NM_001012967.3	MANE
DEAF1	NM_021008.4	MANE
DECR1	NM_001359.2	MANE
DECR2	NM_020664.4	MANE
DEDD	NM_032998.3	MANE
DEDD2	NM_133328.4	MANE
DEF6	NM_022047.4	MANE
DEF8	NM_001242818.2	MANE
DEFA1	NM_004084.4	MANE
DEFA1B	NM_001042500.2	MANE
DEFA3	NM_005217.4	MANE
DEFA4	NM_001925.3	MANE
DEFA5	NM_021010.3	MANE
DEFA6	NM_001926.4	MANE
DEFB1	NM_005218.4	MANE
DEFB103A	NM_001081551.4	MANE
DEFB103B	NM_018661.4	MANE
DEFB104A	NM_080389.3	MANE
DEFB104B	NM_001040702.1	MANE
DEFB105A	NM_152250.3	MANE
DEFB105B	NM_001040703.3	MANE
DEFB106A	NM_152251.4	MANE
DEFB106B	NM_001040704.2	MANE
DEFB107A	NM_001037668.1	MANE
DEFB107B	NM_001040705.2	MANE
DEFB108B	NM_001002035.2	MANE
DEFB109B	NM_001037380	HGNC
DEFB110	NM_001037497.2	MANE
DEFB112	NM_001369057.2	MANE
DEFB113	NM_001037729.1	MANE
DEFB114	NM_001037499.2	MANE
DEFB115	NM_001037730.1	MANE
DEFB116	NM_001037731.1	MANE
DEFB118	NM_054112.3	MANE
DEFB119	NM_153289.4	MANE
DEFB121	NM_001011878.3	MANE
DEFB123	NM_153324.4	MANE
DEFB124	NM_001037500.2	MANE
DEFB125	NM_153325.4	MANE
DEFB126	NM_030931.4	MANE
DEFB127	NM_139074.4	MANE
DEFB128	NM_001037732.3	MANE
DEFB129	NM_080831.4	MANE
DEFB130A	NM_001037804.1	MANE
DEFB130B	NM_001195257.1	MANE
DEFB131A	NM_001040448.3	MANE
DEFB131B	NM_001242853.1	MANE
DEFB132	NM_207469.3	MANE
DEFB134	NM_001302695.2	MANE
DEFB135	NM_001033017.3	MANE
DEFB136	NM_001033018.2	MANE
DEFB4A	NM_004942.4	MANE
DEFB4B	NM_001205266.2	MANE
DEGS1	NM_003676.4	MANE
DEGS2	NM_206918.3	MANE
DEK	NM_003472.4	MANE
DELE1	NM_014773.5	MANE
DENND10	NM_207009.4	MANE
DENND11	NM_001080392.2	MANE
DENND1A	NM_001352964.2	MANE
DENND1B	NM_001195215.2	MANE
DENND1C	NM_024898.4	MANE
DENND2A	NM_015689.5	MANE
DENND2B	NM_213618.2	MANE
DENND2C	NM_001256404.2	MANE
DENND2D	NM_024901.5	MANE
DENND3	NM_001352890.3	MANE
DENND4A	NM_001320835.1	MANE
DENND4B	NM_014856.3	MANE
DENND4C	NM_001330640.2	MANE
DENND5A	NM_015213.4	MANE
DENND5B	NM_144973.4	MANE
DENND6A	NM_152678.3	MANE
DENND6B	NM_001001794.4	MANE
DENR	NM_003677.5	MANE
DEPDC1	NM_001114120.3	MANE
DEPDC1B	NM_018369.3	MANE
DEPDC4	NM_001364818.2	MANE
DEPDC5	NM_001242896.3	MANE
DEPDC7	NM_001077242.2	MANE
DEPP1	NM_007021.4	MANE
DEPTOR	NM_022783.4	MANE
DERA	NM_015954.4	MANE
DERL1	NM_024295.6	MANE
DERL2	NM_016041.5	MANE
DERL3	NM_001002862.3	MANE
DERPC	NM_001002847.4	MANE
DES	NM_001927.4	MANE
DESI1	NM_015704.3	MANE
DESI2	NM_016076.5	MANE
DET1	NM_001144074.3	MANE
DEUP1	NM_181645.4	MANE
DEXI	NM_014015.4	MANE
DFFA	NM_004401.3	MANE
DFFB	NM_004402.4	MANE
DFNA5	NM_004403.3	HGMD
DFNB59	NM_001042702.5	HGMD
DGAT1	NM_012079.6	MANE
DGAT2	NM_032564.5	MANE
DGAT2L6	NM_198512.3	MANE
DGCR14	NM_022719.3	HGMD
DGCR2	NM_005137.3	MANE
DGCR6	NM_005675.6	MANE
DGCR6L	NM_033257.4	MANE
DGCR8	NM_022720.7	MANE
DGKA	NM_001345.5	MANE
DGKB	NM_001350709.2	MANE
DGKD	NM_152879.3	MANE
DGKE	NM_003647.3	MANE
DGKG	NM_001346.3	MANE
DGKH	NM_178009.5	MANE
DGKI	NM_001321708.2	MANE
DGKK	NM_001013742.4	MANE
DGKQ	NM_001347.4	MANE
DGKZ	NM_001199267.2	MANE
DGLUCY	NM_001102368.3	MANE
DGUOK	NM_080916.3	MANE
DHCR24	NM_014762.4	MANE
DHCR7	NM_001360.3	MANE
DHDDS	NM_205861.3	MANE
DHDH	NM_014475.4	MANE
DHFR	NM_000791.4	MANE
DHFR2	NM_176815.5	MANE
DHH	NM_021044.4	MANE
DHODH	NM_001361.5	MANE
DHPS	NM_001930.4	MANE
DHRS1	NM_001136050.3	MANE
DHRS11	NM_024308.4	MANE
DHRS12	NM_001377533.1	MANE
DHRS13	NM_144683.4	MANE
DHRS2	NM_005794.4	MANE
DHRS3	NM_004753.7	MANE
DHRS4	NM_021004.4	MANE
DHRS4L2	NM_198083.4	MANE
DHRS7	NM_016029.4	MANE
DHRS7B	NM_015510.5	MANE
DHRS7C	NM_001105571.3	MANE
DHRS9	NM_001376924.1	MANE
DHRSX	NM_145177.3	MANE
DHTKD1	NM_018706.7	MANE
DHX15	NM_001358.3	MANE
DHX16	NM_003587.5	MANE
DHX29	NM_019030.4	MANE
DHX30	NM_138615.3	MANE
DHX32	NM_018180.3	MANE
DHX33	NM_020162.4	MANE
DHX34	NM_014681.6	MANE
DHX35	NM_021931.4	MANE
DHX36	NM_020865.3	MANE
DHX37	NM_032656.4	MANE
DHX38	NM_014003.4	MANE
DHX40	NM_024612.5	MANE
DHX57	NM_198963.3	MANE
DHX58	NM_024119.3	MANE
DHX8	NM_004941.3	MANE
DHX9	NM_001357.5	MANE
DIABLO	NM_001371333.1	MANE
DIAPH1	NM_005219.5	MANE
DIAPH2	NM_006729.5	MANE
DIAPH3	NM_001042517.2	MANE
DICER1	NM_177438.3	MANE
DIDO1	NM_001193369.2	MANE
DIMT1	NM_014473.4	MANE
DIO1	NM_000792.7	MANE
DIO2	NM_013989.5	MANE
DIO3	NM_001362	HGNC
DIP2A	NM_015151.4	MANE
DIP2B	NM_173602.3	MANE
DIP2C	NM_014974.3	MANE
DIPK1A	NM_001006605.5	MANE
DIPK1B	NM_152421.4	MANE
DIPK1C	NM_001044369.3	MANE
DIPK2A	NM_173552.5	MANE
DIPK2B	NM_176819.4	MANE
DIRAS1	NM_145173.4	MANE
DIRAS2	NM_017594.5	MANE
DIRAS3	NM_004675.5	MANE
DIS3	NM_014953.5	MANE
DIS3L	NM_001143688.3	MANE
DIS3L2	NM_152383.5	MANE
DISC1	NM_018662.3	MANE
DISP1	NM_001377229.1	MANE
DISP2	NM_033510.3	MANE
DISP3	NM_020780.2	MANE
DIXDC1	NM_001037954.4	MANE
DKC1	NM_001363.5	MANE
DKK1	NM_012242.4	MANE
DKK2	NM_014421.3	MANE
DKK3	NM_001018057.2	MANE
DKK4	NM_014420.3	MANE
DKKL1	NM_014419.4	MANE
DLAT	NM_001931.5	MANE
DLC1	NM_182643.3	MANE
DLD	NM_000108.5	MANE
DLEC1	NM_007335.4	MANE
DLEU7	NM_001306135.2	MANE
DLG1	NM_001366207.1	MANE
DLG2	NM_001142699.3	MANE
DLG3	NM_021120.4	MANE
DLG4	NM_001321075.3	MANE
DLG5	NM_004747.4	MANE
DLGAP1	NM_004746.4	MANE
DLGAP2	NM_001346810.2	MANE
DLGAP3	NM_001080418.3	MANE
DLGAP4	NM_001365621.2	MANE
DLGAP5	NM_014750.5	MANE
DLK1	NM_003836.7	MANE
DLK2	NM_023932.4	MANE
DLL1	NM_005618.4	MANE
DLL3	NM_203486.3	MANE
DLL4	NM_019074.4	MANE
DLST	NM_001933.5	MANE
DLX1	NM_178120.5	MANE
DLX2	NM_004405.4	MANE
DLX3	NM_005220.3	MANE
DLX4	NM_138281.3	MANE
DLX5	NM_005221.6	MANE
DLX6	NM_005222.4	MANE
DMAC1	NM_033428.3	MANE
DMAC2	NM_018035.3	MANE
DMAC2L	NM_001382507.1	MANE
DMAP1	NM_019100.5	MANE
DMBT1	NM_001377530.1	MANE
DMBX1	NM_172225.2	MANE
DMC1	NM_007068.4	MANE
DMD	NM_004006.3	MANE
DMGDH	NM_013391.3	MANE
DMKN	NM_033317.5	MANE
DMP1	NM_004407.4	MANE
DMPK	NM_004409.5	MANE
DMRT1	NM_021951.3	MANE
DMRT2	NM_181872.6	MANE
DMRT3	NM_021240.4	MANE
DMRTA1	NM_022160.3	MANE
DMRTA2	NM_032110.3	MANE
DMRTB1	NM_033067.3	MANE
DMRTC1	NM_033053.3	MANE
DMRTC1B	NM_001386972.1	MANE
DMRTC2	NM_001040283.3	MANE
DMTF1	NM_001142327.2	MANE
DMTN	NM_001387751.1	MANE
DMWD	NM_004943.2	MANE
DMXL1	NM_001290321.3	MANE
DMXL2	NM_001378457.1	MANE
DNA2	NM_001080449.3	MANE
DNAAF1	NM_178452.6	MANE
DNAAF10	NM_138458.4	MANE
DNAAF11	NM_012472.6	MANE
DNAAF2	NM_018139.3	MANE
DNAAF3	NM_001256715.2	MANE
DNAAF4	NM_130810.4	MANE
DNAAF5	NM_017802.4	MANE
DNAAF6	NM_173494.2	MANE
DNAAF8	NM_139170.3	MANE
DNAAF9	NM_001009984.3	MANE
DNAH1	NM_015512.5	MANE
DNAH10	NM_001372106.1	MANE
DNAH11	NM_001277115.2	MANE
DNAH12	NM_001366028.2	MANE
DNAH14	NM_001367479.1	MANE
DNAH17	NM_173628.4	MANE
DNAH2	NM_020877.5	MANE
DNAH3	NM_001347886.2	MANE
DNAH5	NM_001369.3	MANE
DNAH6	NM_001370.2	MANE
DNAH7	NM_018897.3	MANE
DNAH8	NM_001206927.2	MANE
DNAH9	NM_001372.4	MANE
DNAI1	NM_012144.4	MANE
DNAI2	NM_023036.6	MANE
DNAI3	NM_145172.5	MANE
DNAI4	NM_024763.5	MANE
DNAI7	NM_018272.5	MANE
DNAJA1	NM_001539.4	MANE
DNAJA2	NM_005880.4	MANE
DNAJA3	NM_005147.6	MANE
DNAJA4	NM_001130182.2	MANE
DNAJB1	NM_006145.3	MANE
DNAJB11	NM_016306.6	MANE
DNAJB12	NM_017626.7	MANE
DNAJB13	NM_153614.4	MANE
DNAJB14	NM_001031723.4	MANE
DNAJB2	NM_006736.6	MANE
DNAJB4	NM_007034.5	MANE
DNAJB5	NM_001349723.3	MANE
DNAJB6	NM_058246.4	MANE
DNAJB7	NM_145174.2	MANE
DNAJB8	NM_153330.6	MANE
DNAJB9	NM_012328.3	MANE
DNAJC1	NM_022365.4	MANE
DNAJC10	NM_018981.4	MANE
DNAJC11	NM_018198.4	MANE
DNAJC12	NM_021800.3	MANE
DNAJC13	NM_015268.4	MANE
DNAJC14	NM_032364.6	MANE
DNAJC15	NM_013238.3	MANE
DNAJC16	NM_015291.4	MANE
DNAJC17	NM_018163.3	MANE
DNAJC18	NM_152686.4	MANE
DNAJC19	NM_145261.4	MANE
DNAJC2	NM_014377.3	MANE
DNAJC21	NM_001012339.3	MANE
DNAJC22	NM_001304944.2	MANE
DNAJC24	NM_181706.5	MANE
DNAJC25	NM_001015882.3	MANE
DNAJC27	NM_016544.3	MANE
DNAJC28	NM_001040192.3	MANE
DNAJC3	NM_006260.5	MANE
DNAJC30	NM_032317.3	MANE
DNAJC4	NM_005528.4	MANE
DNAJC5	NM_025219.3	MANE
DNAJC5B	NM_033105.6	MANE
DNAJC5G	NM_173650.3	MANE
DNAJC6	NM_001256864.2	MANE
DNAJC7	NM_003315.4	MANE
DNAJC8	NM_014280.3	MANE
DNAJC9	NM_015190.5	MANE
DNAL1	NM_031427.4	MANE
DNAL4	NM_005740.3	MANE
DNALI1	NM_003462.5	MANE
DNASE1	NM_005223.4	MANE
DNASE1L1	NM_001303620.2	MANE
DNASE1L2	NM_001374.3	MANE
DNASE1L3	NM_004944.4	MANE
DNASE2	NM_001375.3	MANE
DNASE2B	NM_021233.3	MANE
DND1	NM_194249.3	MANE
DNER	NM_139072.4	MANE
DNHD1	NM_144666.3	MANE
DNLZ	NM_001080849.3	MANE
DNM1	NM_004408.4	MANE
DNM1L	NM_012062.5	MANE
DNM2	NM_001005361.3	MANE
DNM3	NM_015569.5	MANE
DNMBP	NM_015221.4	MANE
DNMT1	NM_001130823.3	MANE
DNMT3A	NM_022552.5	MANE
DNMT3B	NM_006892.4	MANE
DNMT3L	NM_175867.3	MANE
DNPEP	NM_012100.4	MANE
DNPH1	NM_006443.3	MANE
DNTT	NM_004088.4	MANE
DNTTIP1	NM_052951.3	MANE
DNTTIP2	NM_014597.5	MANE
DOC2A	NM_003586.3	MANE
DOC2B	NM_003585.5	MANE
DOCK1	NM_001290223.2	MANE
DOCK10	NM_014689.3	MANE
DOCK11	NM_144658.4	MANE
DOCK2	NM_004946.3	MANE
DOCK3	NM_004947.5	MANE
DOCK4	NM_001363540.2	MANE
DOCK5	NM_024940.8	MANE
DOCK6	NM_020812.4	MANE
DOCK7	NM_001367561.1	MANE
DOCK8	NM_203447.4	MANE
DOCK9	NM_001366683.2	MANE
DOHH	NM_001145165.2	MANE
DOK1	NM_001381.5	MANE
DOK2	NM_003974.4	MANE
DOK3	NM_001308236.3	MANE
DOK4	NM_018110.5	MANE
DOK5	NM_018431.5	MANE
DOK6	NM_152721.6	MANE
DOK7	NM_173660.5	MANE
DOLK	NM_014908.4	MANE
DOLPP1	NM_020438.5	MANE
DONSON	NM_017613.4	MANE
DOP1A	NM_015018.4	MANE
DOP1B	NM_001320714.2	MANE
DOT1L	NM_032482.3	MANE
DPAGT1	NM_001382.4	MANE
DPCD	NM_015448.3	MANE
DPEP1	NM_001389466.1	MANE
DPEP2	NM_022355.4	MANE
DPEP2NB	NM_001282442.2	MANE
DPEP3	NM_001370198.1	MANE
DPF1	NM_001135155.3	MANE
DPF2	NM_006268.5	MANE
DPF3	NM_001280542.3	MANE
DPH1	NM_001383.6	MANE
DPH2	NM_001384.5	MANE
DPH3	NM_206831.3	MANE
DPH5	NM_015958.3	MANE
DPH6	NM_080650.4	MANE
DPH7	NM_138778.5	MANE
DPM1	NM_003859.3	MANE
DPM2	NM_003863.4	MANE
DPM3	NM_153741.2	MANE
DPP10	NM_020868.6	MANE
DPP3	NM_130443.4	MANE
DPP4	NM_001935.4	MANE
DPP6	NM_130797.4	MANE
DPP7	NM_013379.3	MANE
DPP8	NM_130434.5	MANE
DPP9	NM_139159.5	MANE
DPPA2	NM_138815.4	MANE
DPPA3	NM_199286.4	MANE
DPPA4	NM_018189.4	MANE
DPPA5	NM_001025290.3	MANE
DPRX	NM_001012728.2	MANE
DPT	NM_001937.5	MANE
DPY19L1	NM_001366673.1	MANE
DPY19L2	NM_173812.5	MANE
DPY19L3	NM_001172774.2	MANE
DPY19L4	NM_181787.3	MANE
DPY30	NM_001321209.2	MANE
DPYD	NM_000110.4	MANE
DPYS	NM_001385.3	MANE
DPYSL2	NM_001197293.3	MANE
DPYSL3	NM_001197294.2	MANE
